Row,GO0009723,GO0009733,GO0071555
AT1G01270,0,0,0
AT1G01380,0,0,0
AT1G01453,0,0,0
AT1G01480,0,0,0
AT1G01580,0,0,0
AT1G01600,0,0,0
AT1G01620,0,0,0
AT1G01640,0,0,0
AT1G01650,0,0,0
AT1G01725,0,0,0
AT1G01750,0,0,0
AT1G01770,0,0,0
AT1G02050,0,0,0
AT1G02205,0,0,0
AT1G02460,0,0,1
AT1G02570,0,0,0
AT1G02770,0,0,0
AT1G02800,0,0,1
AT1G02900,0,0,0
AT1G02920,0,0,0
AT1G02930,0,0,0
AT1G03090,0,0,0
AT1G03120,0,0,0
AT1G03130,0,0,0
AT1G03630,0,0,0
AT1G03700,0,0,0
AT1G03820,0,0,0
AT1G03850,0,0,0
AT1G03970,0,0,0
AT1G04140,0,0,0
AT1G04180,0,0,0
AT1G04220,0,0,0
AT1G04310,1,0,0
AT1G04360,0,0,0
AT1G04660,0,0,0
AT1G04800,0,0,0
AT1G04980,0,0,0
AT1G05000,0,0,0
AT1G05010,0,0,0
AT1G05020,0,0,0
AT1G05220,0,0,0
AT1G05240,0,0,0
AT1G05250,0,0,0
AT1G05300,0,0,0
AT1G05450,0,0,0
AT1G05660,0,0,1
AT1G05890,0,0,0
AT1G05990,0,0,0
AT1G06030,0,0,0
AT1G06080,0,0,0
AT1G06180,0,0,0
AT1G06330,0,0,0
AT1G06360,0,0,0
AT1G06520,0,0,0
AT1G06570,0,0,0
AT1G06830,0,0,0
AT1G06923,0,0,0
AT1G06930,0,0,0
AT1G06980,0,0,0
AT1G07000,0,0,0
AT1G07040,0,0,0
AT1G07128,0,0,0
AT1G07150,0,0,0
AT1G07230,0,0,0
AT1G07260,0,0,0
AT1G07300,0,0,0
AT1G07310,0,0,0
AT1G07440,0,0,0
AT1G07640,0,0,0
AT1G07690,0,0,0
AT1G07720,0,0,0
AT1G07795,0,0,0
AT1G08005,0,0,0
AT1G08010,0,0,0
AT1G08115,0,0,0
AT1G08320,0,0,0
AT1G08390,0,0,0
AT1G08430,0,0,0
AT1G08630,0,0,0
AT1G08650,0,0,0
AT1G08930,0,0,0
AT1G08940,0,0,0
AT1G08990,0,0,0
AT1G09240,0,0,0
AT1G09350,0,0,0
AT1G09380,0,0,0
AT1G09500,0,0,0
AT1G09530,0,0,0
AT1G09710,0,0,0
AT1G09812,0,0,0
AT1G09932,0,0,0
AT1G09950,0,0,0
AT1G09960,0,0,0
AT1G10020,0,0,0
AT1G10060,0,0,0
AT1G10070,0,0,0
AT1G10140,0,0,0
AT1G10160,0,0,0
AT1G10210,0,1,0
AT1G10360,0,0,0
AT1G10370,0,0,0
AT1G10380,0,0,0
AT1G10400,0,0,0
AT1G10480,1,0,0
AT1G10970,0,0,0
AT1G10990,0,0,0
AT1G11120,0,0,0
AT1G11125,0,0,0
AT1G11175,0,0,0
AT1G11185,0,0,0
AT1G11210,0,0,0
AT1G11260,0,0,0
AT1G11530,0,0,0
AT1G11540,0,0,0
AT1G11655,0,0,0
AT1G11700,0,0,0
AT1G11800,0,0,0
AT1G11840,0,0,0
AT1G11920,0,0,0
AT1G11960,0,0,0
AT1G12040,0,0,1
AT1G12064,0,0,0
AT1G12330,0,0,0
AT1G12440,0,0,0
AT1G12500,0,0,0
AT1G12560,0,0,1
AT1G12672,0,0,0
AT1G12890,1,0,0
AT1G12950,0,0,0
AT1G13080,0,0,0
AT1G13100,0,0,0
AT1G13250,0,0,1
AT1G13430,0,0,0
AT1G13448,0,0,0
AT1G13635,0,0,0
AT1G13670,0,0,0
AT1G13710,0,0,0
AT1G13900,0,0,0
AT1G13910,0,0,0
AT1G13930,0,0,0
AT1G14210,0,0,0
AT1G14240,0,0,0
AT1G14700,0,0,0
AT1G14790,0,0,0
AT1G14890,0,0,0
AT1G14960,0,0,0
AT1G15010,0,0,0
AT1G15040,0,0,0
AT1G15050,0,1,0
AT1G15080,0,0,0
AT1G15100,0,0,0
AT1G15125,0,0,0
AT1G15170,0,0,0
AT1G15260,0,0,0
AT1G15350,0,0,0
AT1G15380,0,0,0
AT1G15630,0,0,0
AT1G15640,0,0,0
AT1G15825,0,0,0
AT1G16370,0,0,0
AT1G16500,0,0,0
AT1G16515,0,0,0
AT1G17020,0,0,0
AT1G17090,0,0,0
AT1G17170,0,0,0
AT1G17180,0,0,0
AT1G17190,0,0,0
AT1G17300,0,0,0
AT1G17310,0,0,0
AT1G17345,0,0,0
AT1G17710,0,0,0
AT1G17810,0,0,0
AT1G17970,0,0,0
AT1G18060,0,0,0
AT1G18100,0,0,0
AT1G18140,0,0,0
AT1G18200,0,0,0
AT1G18280,0,0,0
AT1G18290,0,0,0
AT1G18420,0,0,0
AT1G18470,0,0,0
AT1G18570,1,1,1
AT1G18740,0,0,0
AT1G18870,0,0,0
AT1G18970,0,0,0
AT1G18980,0,0,0
AT1G19180,0,0,0
AT1G19200,0,0,0
AT1G19380,0,0,0
AT1G19530,0,0,0
AT1G19550,0,0,0
AT1G19670,0,0,0
AT1G19770,0,0,0
AT1G19900,0,0,0
AT1G19960,0,0,0
AT1G20030,0,0,0
AT1G20070,0,0,0
AT1G20520,0,0,0
AT1G20790,0,0,0
AT1G20823,0,0,0
AT1G20900,0,0,0
AT1G21050,0,0,0
AT1G21080,0,0,0
AT1G21110,0,0,0
AT1G21120,0,0,0
AT1G21130,0,0,0
AT1G21140,0,0,0
AT1G21326,0,0,0
AT1G21360,0,0,0
AT1G21400,0,0,0
AT1G21410,0,1,0
AT1G21695,0,0,0
AT1G21770,0,0,0
AT1G21780,0,0,0
AT1G21790,0,0,0
AT1G21910,1,0,0
AT1G22065,0,0,0
AT1G22110,0,0,0
AT1G22330,0,0,0
AT1G22520,0,0,0
AT1G22530,0,0,0
AT1G22550,0,0,0
AT1G22600,0,0,0
AT1G22710,0,0,0
AT1G22740,0,0,0
AT1G22990,0,0,0
AT1G23052,0,0,0
AT1G23090,0,0,0
AT1G23100,0,0,0
AT1G23120,0,0,0
AT1G23330,0,0,0
