id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01453.1,0.6415,0.8795,0.623,0.8502,1.2433,0.7916,0.8452,1.3711,0.9777,1.2585,0.9213,1.4406,2.0659,2.2039,1.2887,4.134,3.1086,3.0992,3.0252,4.7743,3.12
AT1G01453.2,0.5819,0.7977,0.5337,0.7711,1.1276,0.7179,0.7666,1.2435,0.8867,1.1414,0.7976,1.3065,1.8736,1.9749,1.1687,3.7491,2.8192,2.8106,2.7435,4.3297,2.8003
AT1G01480.1,0.9055,1.1376,1.2021,0.7945,0.6429,0.7433,0.6438,0.6726,0.4537,0.9572,0.6068,0.5755,0.487,0.5631,0.7884,0.5565,0.4423,0.4692,0.7739,0.8352,0.8206
AT1G01620.1,1057.9422,1298.7103,788.5986,1171.9416,1416.146,991.2215,950.312,1328.6793,906.2773,911.8969,1199.0201,707.1488,701.3389,580.3746,429.0034,614.8893,698.2814,424.3886,805.9205,802.3075,564.7642
AT1G01620.2,1086.5865,1334.5224,808.4328,1208.1066,1454.9929,1016.439,978.0277,1367.5579,928.611,936.1092,1231.0812,724.7762,720.7213,596.5317,439.6041,632.4223,717.1135,435.2427,829.1088,824.7317,579.604
AT1G01650.1,14.9662,14.0058,12.9724,16.2198,16.4443,16.3262,13.8662,13.5744,17.2201,16.0249,21.3383,19.1089,24.1746,26.3717,32.8132,22.5121,24.7205,27.9453,22.9886,25.243,31.7302
AT1G01650.2,14.417,13.4918,12.5311,15.6246,15.8408,15.727,13.3574,13.0763,16.6045,15.4368,20.5552,18.4076,23.2874,25.4039,31.6089,21.6859,23.8132,26.931,22.1449,24.3166,30.5657
AT1G01750.1,8.5865,8.1908,5.0082,4.9232,7.6397,4.4253,4.4749,5.9064,6.8889,9.4538,7.0323,7.6036,13.1858,13.2635,12.337,20.4598,19.4267,15.9746,14.9523,19.4766,20.5024
AT1G02770.1,2.3841,2.5756,2.9124,1.6819,2.1535,2.5725,1.8124,3.1863,2.8336,2.5203,1.6483,2.1398,1.4785,2.2106,1.4424,2.4841,2.1216,2.345,1.6031,2.0769,2.3863
AT1G02800.1,16.7277,20.5107,17.8679,26.4424,22.3074,18.6459,31.7296,12.7924,18.3169,18.1344,27.3943,21.1532,27.6569,24.4188,35.0014,19.3131,24.8062,26.9647,18.3864,19.6219,13.6392
AT1G02900.1,38.9785,45.5523,30.9901,37.5622,44.4919,37.7465,32.3792,41.9657,36.5141,51.1672,45.8698,41.9002,64.937,62.1978,73.2941,72.8322,66.6429,52.6006,66.3337,60.5834,53.476
AT1G02930.1,5.3537,7.2104,9.388,5.4661,5.8444,8.7085,5.8881,10.0296,14.3042,10.8016,7.8579,20.8113,10.4781,15.0286,18.7139,11.8254,16.7808,16.4159,17.9977,15.6499,14.6392
AT1G02930.2,5.5684,8.5231,9.7899,6.1035,6.7458,8.9875,6.772,11.6727,14.9677,12.6011,8.8886,21.9578,11.7174,17.122,19.2539,13.7959,18.911,17.7804,20.8466,18.2005,15.1967
AT1G03120.1,2.1944,2.5562,3.2966,1.6686,2.2494,2.1031,2.3993,4.6349,2.2472,4.7058,1.1045,1.559,1.3759,1.7039,0.6543,1.5442,1.1757,1.5044,1.1441,1.7867,2.2195
AT1G03700.1,2.6518,4.2363,2.7707,2.6741,3.3359,2.7562,3.4475,2.817,2.327,1.576,2.3335,1.4504,0.4508,0.7322,0.188,0.4043,0.6912,0.6269,0.3626,0.2333,0.3932
AT1G03820.1,1.6564,2.3849,2.5461,1.8417,1.9534,2.2202,1.5282,0.5912,1.179,0.6611,1.8388,1.4065,0.8349,0.2382,1.2489,0.5992,0.3553,0.9293,0.4224,0.5179,0.458
AT1G04180.1,0.3525,0.7468,0.2134,1.2279,0.5612,0.1925,0.5094,0.5872,0.4013,1.3814,1.103,1.0124,2.126,1.2446,1.3831,1.5689,1.098,0.9473,1.7454,1.57,0.8763
AT1G04310.1,6.5574,6.523,6.2199,7.6674,6.1496,5.1525,6.1761,6.9561,6.8272,13.2973,8.3951,10.4798,14.4021,9.0629,15.274,10.8314,13.8464,15.143,18.2236,18.5504,17.7381
