id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01380.1,7.7085,8.8031,9.437,7.374,8.8401,10.3373,8.8149,9.5257,9.915,8.9565,9.5338,9.6798,11.6643,9.3262,13.2823,12.8627,14.3064,11.8215,9.9614,12.6268,8.15
AT1G01453.1,0.6415,0.8795,0.623,0.8502,1.2433,0.7916,0.8452,1.3711,0.9777,1.2585,0.9213,1.4406,2.0659,2.2039,1.2887,4.134,3.1086,3.0992,3.0252,4.7743,3.12
AT1G01453.2,0.5819,0.7977,0.5337,0.7711,1.1276,0.7179,0.7666,1.2435,0.8867,1.1414,0.7976,1.3065,1.8736,1.9749,1.1687,3.7491,2.8192,2.8106,2.7435,4.3297,2.8003
AT1G01650.1,14.9662,14.0058,12.9724,16.2198,16.4443,16.3262,13.8662,13.5744,17.2201,16.0249,21.3383,19.1089,24.1746,26.3717,32.8132,22.5121,24.7205,27.9453,22.9886,25.243,31.7302
AT1G01650.2,14.417,13.4918,12.5311,15.6246,15.8408,15.727,13.3574,13.0763,16.6045,15.4368,20.5552,18.4076,23.2874,25.4039,31.6089,21.6859,23.8132,26.931,22.1449,24.3166,30.5657
AT1G01750.1,8.5865,8.1908,5.0082,4.9232,7.6397,4.4253,4.4749,5.9064,6.8889,9.4538,7.0323,7.6036,13.1858,13.2635,12.337,20.4598,19.4267,15.9746,14.9523,19.4766,20.5024
AT1G02460.1,2.1005,2.4944,1.7919,2.3673,2.1348,2.1035,2.6649,1.4317,2.5522,2.4499,1.8077,4.1461,3.246,2.331,4.8563,2.7143,3.3283,3.6303,2.9646,2.5513,2.6198
AT1G02570.1,2.947,3.4131,1.1453,1.9833,3.2955,2.2412,2.0127,2.888,3.5549,2.6037,4.5158,3.3362,2.692,5.2117,2.37,6.8141,9.0068,6.6923,4.8739,8.9627,8.3224
AT1G02900.1,38.9785,45.5523,30.9901,37.5622,44.4919,37.7465,32.3792,41.9657,36.5141,51.1672,45.8698,41.9002,64.937,62.1978,73.2941,72.8322,66.6429,52.6006,66.3337,60.5834,53.476
AT1G02920.1,10.5075,15.6539,11.2329,11.3788,12.8957,15.2947,11.5583,18.484,14.5032,16.7013,14.1519,21.954,15.9269,21.0909,18.8622,24.4818,30.4815,21.2183,36.9803,30.5961,20.5176
AT1G02930.1,5.3537,7.2104,9.388,5.4661,5.8444,8.7085,5.8881,10.0296,14.3042,10.8016,7.8579,20.8113,10.4781,15.0286,18.7139,11.8254,16.7808,16.4159,17.9977,15.6499,14.6392
AT1G02930.2,5.5684,8.5231,9.7899,6.1035,6.7458,8.9875,6.772,11.6727,14.9677,12.6011,8.8886,21.9578,11.7174,17.122,19.2539,13.7959,18.911,17.7804,20.8466,18.2005,15.1967
