id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01580.1,1.9998,2.9793,2.5569,1.1914,2.5622,3.492,1.5956,1.3491,2.5296,1.6179,2.0895,1.9384,1.1346,2.547,3.1594,2.0646,1.818,2.9383,0.5356,0.716,0.7294
AT1G03630.1,10.1422,9.5722,14.1666,11.8879,7.2187,12.5491,11.065,6.2336,9.003,8.3543,7.1545,10.3549,7.3752,4.4019,13.607,6.1575,7.2565,9.1868,7.7487,6.3514,6.0395
AT1G03630.2,10.2529,9.6766,14.3213,12.0176,7.2975,12.6861,11.1858,6.3017,9.1012,8.4455,7.2326,10.4679,7.4557,4.45,13.7556,6.2247,7.3357,9.2871,7.8333,6.4208,6.1054
AT1G03700.1,2.6518,4.2363,2.7707,2.6741,3.3359,2.7562,3.4475,2.817,2.327,1.576,2.3335,1.4504,0.4508,0.7322,0.188,0.4043,0.6912,0.6269,0.3626,0.2333,0.3932
AT1G03820.1,1.6564,2.3849,2.5461,1.8417,1.9534,2.2202,1.5282,0.5912,1.179,0.6611,1.8388,1.4065,0.8349,0.2382,1.2489,0.5992,0.3553,0.9293,0.4224,0.5179,0.458
AT1G03850.2,44.0323,54.9479,56.9221,40.2818,49.0335,74.9373,34.7779,49.1751,77.4865,37.531,44.107,57.8191,28.1522,24.1187,63.0804,35.5328,32.5364,42.8077,32.7613,37.7307,32.3884
AT1G04360.1,3.1281,4.1641,4.7515,4.409,5.0104,3.5997,3.4489,2.3336,2.0609,1.9349,2.8437,1.8252,2.975,1.8446,3.4935,2.2738,2.6665,3.0524,2.3401,2.1674,2.6383
AT1G04660.1,1.2785,2.0215,2.1467,0.946,2.3466,1.4352,1.5404,1.819,2.6124,1.1533,1.4441,1.5461,0.7523,0.5212,0.5254,0.3432,0.3426,0.2721,0.18,0.346,0.2229
AT1G05220.1,2.0237,1.6193,1.365,0.52,1.4324,0.9479,1.2959,1.3323,1.1833,1.4901,1.9164,0.8597,0.6633,1.8643,1.0741,1.5672,1.5885,1.2417,0.75,1.1799,1.0672
AT1G05450.2,1.8125,1.2092,2.4384,1.4958,1.5204,1.4886,1.253,1.2635,1.6476,0.7332,0.9474,1.3635,0.9887,1.083,1.1435,0.4411,0.4065,1.0169,0.3561,0.4269,0.3006
AT1G05450.1,1.6432,1.2023,2.6692,1.0586,1.2163,1.3166,0.6412,0.9335,1.7293,0.6648,1.0104,1.6993,0.9353,1.0135,1.2094,0.3201,0.3686,0.922,0.1441,0.4514,0.2338
AT1G05660.1,1.0169,2.6707,1.8846,1.4171,3.1567,2.6913,1.2479,2.3784,1.7452,1.9585,1.4557,1.5344,0.4559,0.4693,0.4717,0.3428,0.316,0.2964,0.1961,0.2516,0.1823
AT1G06180.1,1.1742,1.5744,1.731,1.2721,1.354,1.499,1.1791,0.8161,1.5515,1.0087,1.2269,1.2901,0.7102,0.7375,1.0056,0.5259,0.9311,0.8234,0.6165,0.9128,1.0219
AT1G06360.1,31.1874,28.5381,40.5963,29.1352,29.342,38.0954,32.7033,35.0533,47.1033,39.0951,28.6612,40.9906,19.0164,23.8567,25.8929,16.0638,14.92,17.3169,15.2366,15.2526,16.493
AT1G06520.1,1.0489,1.0448,1.5791,1.1453,0.8238,1.8381,1.0488,1.2728,1.9049,1.0734,0.9096,1.3373,0.594,0.5414,0.6186,0.222,0.3743,0.6637,0.5955,0.506,0.5741
AT1G06830.1,2.2052,3.0967,1.9035,3.2589,4.4378,2.7027,2.7633,0.9295,1.0765,1.905,2.3041,1.1283,1.8485,1.3294,2.4431,1.4574,0.7391,0.7921,0.9805,0.5296,0.5675
AT1G08005.1,1.3314,1.1688,1.1493,1.0935,0.8937,1.2693,0.8026,0.2345,0.4338,0.7846,0.8351,0.6389,0.8588,0.5239,0.4765,0.8801,1.0135,0.4487,0.3951,0.1782,0.2147
AT1G08990.1,1.1679,0.9399,1.6327,0.7835,1.058,1.8286,0.5775,1.0455,0.95,1.3756,0.757,1.3065,0.4712,0.3832,1.2104,0.1938,0.3562,0.8256,0.5541,0.6384,0.5821
AT1G09350.1,2.6733,2.2565,2.6033,2.9315,1.84,2.4507,1.5698,2.1357,2.4808,1.3799,2.1847,2.5472,0.8018,0.5621,0.7969,0.6518,0.705,0.8656,0.5592,0.4346,0.3037
AT1G09380.1,1.8228,1.7709,1.8192,1.4619,1.2425,2.6567,1.8877,1.6997,2.9411,2.2085,1.8749,3.6862,2.7083,3.7119,2.2901,1.976,1.6258,2.5233,0.6967,1.1767,1.1442
AT1G09500.1,0.9324,1.0514,1.1399,0.7446,0.7171,0.926,1.1701,0.8524,0.5375,0.7629,1.2986,1.1485,0.8142,0.8908,0.6598,0.3215,0.4145,0.3928,0.0585,0.3629,0.3127
AT1G09812.1,2.3094,2.4494,4.2848,2.4493,2.7115,3.6164,1.5309,1.9255,3.5679,0.7941,0.604,1.1078,1.2103,0.6059,0.4135,0.3823,1.2308,1.0366,0.8558,0.8467,0.6499
AT1G09960.1,8.5359,8.1602,7.4264,5.6559,7.9359,9.2879,7.1977,10.82,11.0738,8.0688,11.3021,6.9839,6.9891,8.7574,5.7911,6.7333,6.5653,6.1297,4.7335,5.3855,5.1153
