id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G06180.1,1.1742,1.5744,1.731,1.2721,1.354,1.499,1.1791,0.8161,1.5515,1.0087,1.2269,1.2901,0.7102,0.7375,1.0056,0.5259,0.9311,0.8234,0.6165,0.9128,1.0219
AT1G09710.2,2.4846,2.8624,3.7168,3.9806,2.4659,3.7922,3.9665,3.125,2.9297,2.6828,2.2934,2.515,2.0194,2.0347,1.9242,2.3087,2.852,2.3572,2.9287,3.5855,2.5278
AT1G47760.1,1.4474,1.588,2.2204,1.2107,1.6185,1.5878,1.2598,0.9177,1.1119,1.263,0.5887,1.6063,0.7782,0.9485,1.1497,0.9965,0.8572,1.2177,1.4293,1.4462,1.1627
AT1G49475.1,4.1931,2.8871,4.5133,1.2834,2.1106,4.4677,2.4376,2.6411,6.7794,3.6319,3.5052,3.548,1.9885,2.101,2.689,1.3045,1.2021,1.9924,0.9872,1.0523,1.6251
AT1G64380.1,4.2496,5.6845,4.7231,4.9792,3.7108,3.7859,3.1395,3.0145,3.7402,2.3148,1.6126,3.3729,2.1353,1.8882,2.2891,3.3178,3.1459,3.2976,7.6736,9.5962,7.0598
AT1G77450.1,15.8766,20.0172,27.1317,14.0307,18.3345,23.4967,14.4692,22.7896,24.6228,14.0579,11.2128,12.6558,10.6423,12.7526,9.4457,10.5765,8.0761,7.5844,8.0956,8.7694,7.1456
AT1G79840.2,2.5116,3.4261,2.7264,3.6372,3.6698,2.1826,2.7758,3.191,2.5062,2.6167,1.2885,1.6749,1.9624,1.6759,1.7901,2.2781,2.6619,2.4455,3.2293,3.5304,3.168
AT1G79840.1,2.8241,4.0641,3.0865,4.2911,4.3368,2.5476,3.2704,3.7816,2.8783,3.1321,1.4759,1.9494,2.3206,1.9824,2.0648,2.6961,3.1122,2.9001,3.8568,4.1528,3.6378
AT2G47890.2,4.3428,4.0312,4.9117,3.4228,3.9941,4.4461,4.2588,5.3091,4.2869,4.0573,2.8482,2.9442,2.6798,3.4729,2.6229,2.7709,3.6472,3.1916,3.4827,3.8306,4.3301
AT2G47890.1,4.5609,4.2337,5.1584,3.5732,4.1948,4.6694,4.4538,5.5758,4.5023,4.2611,2.9913,3.0921,2.8144,3.6474,2.7828,2.9101,3.8304,3.3519,3.6577,4.0231,4.5476
AT3G11580.2,4.2902,6.1087,4.1968,6.8885,5.3252,4.5185,7.3749,4.1666,4.931,3.4816,2.2718,3.2001,3.3197,2.5111,2.5559,3.3074,2.7865,2.5026,2.5,2.3248,1.7465
AT3G19580.2,10.4102,12.4461,9.8162,13.2291,12.5464,10.1271,9.5403,10.0955,7.8973,7.8147,6.399,5.9077,6.5575,6.5334,4.8467,6.8283,6.3253,5.3235,9.3622,11.3632,7.343
AT3G19580.1,10.7456,12.3082,9.9941,12.9673,12.3659,10.0685,9.4357,10.015,8.0618,7.8909,6.7024,6.1911,6.3112,6.4394,4.8011,6.674,6.3083,5.4661,9.3775,11.3472,7.4604
AT3G58190.1,1.1618,1.0539,1.4438,0.8906,1.2472,1.7084,0.5605,1.0605,1.1716,0.6847,0.7288,0.5205,0.4127,0.3964,0.8722,0.4612,0.3544,0.5478,0.1729,0.3412,0.4485
AT3G58710.1,7.3362,8.0212,6.1991,8.0055,8.8407,5.6007,6.9793,6.235,4.0512,6.5951,4.3174,4.567,5.8196,4.4774,4.0369,6.9523,6.3474,5.2405,6.8632,7.536,5.9237
AT3G60390.1,12.514,14.6557,16.5846,15.6651,14.2696,11.7647,13.2393,9.1664,11.1122,9.1892,7.8253,9.3706,10.5096,7.5526,10.2129,9.7392,8.6993,8.5656,11.5062,9.6051,9.735
AT4G05100.1,5.0057,7.8775,8.1825,6.046,6.3927,6.972,3.7703,4.0936,5.4279,5.3232,3.1307,4.97,2.2012,1.5409,4.7098,2.5688,3.0308,3.3393,4.0165,4.446,4.0513
AT4G09460.1,12.5806,17.5111,18.202,15.2663,13.7018,17.7806,11.2066,15.6868,14.0219,12.4828,10.5449,9.1135,9.7021,7.797,10.3513,12.7456,10.1258,9.289,17.4279,16.7903,13.4851
AT4G14550.1,3.1599,3.3461,4.104,3.5831,2.5243,2.8897,2.2487,3.1693,2.5211,3.161,1.7929,2.0205,1.8681,1.4594,2.4741,1.6659,2.0388,1.6882,2.7194,2.5261,3.1424
AT4G16750.1,5.1729,5.5214,4.1462,4.804,4.5158,3.451,3.7531,2.5019,3.2199,1.866,3.5302,1.9831,2.8933,2.3173,2.3587,2.5291,2.7322,2.6943,2.0725,2.3212,2.6715
AT4G28110.1,1.1763,1.6213,2.4591,1.9498,1.4038,1.694,0.6819,1.3498,0.6995,0.4004,0.4733,0.9402,0.1832,0.2675,0.5261,0.0383,0.1042,0.0517,0.068,0.1516,0.0736
