id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01380.1,7.7085,8.8031,9.437,7.374,8.8401,10.3373,8.8149,9.5257,9.915,8.9565,9.5338,9.6798,11.6643,9.3262,13.2823,12.8627,14.3064,11.8215,9.9614,12.6268,8.15
AT1G25560.1,38.2797,44.1347,35.4314,53.6363,48.145,39.5775,68.4458,62.6978,74.8469,97.1536,110.1217,124.7802,113.6656,122.6049,124.4085,107.7103,104.1584,119.6323,118.8056,118.8779,115.4478
AT1G28370.1,1.1451,1.8756,1.9365,1.5354,1.4595,1.3098,2.3999,1.8484,2.8295,4.3135,4.6393,5.9254,8.8162,8.5449,9.3646,5.9352,6.2701,7.7517,7.2541,7.0123,5.8086
AT1G29160.1,5.2287,6.2305,3.7128,6.8093,7.073,6.0873,6.8595,6.1427,5.624,5.4638,6.9613,6.4022,5.9134,7.513,6.4801,8.6366,7.124,7.2359,6.8078,8.4822,6.164
AT1G36060.1,1.5508,1.2941,2.2166,1.2438,1.5446,2.4745,1.5038,2.5087,2.8369,4.5175,2.7337,4.3744,4.7046,4.5538,9.2615,7.3413,7.2623,11.6259,10.8156,12.8249,14.6276
AT1G43160.1,0.9308,1.5403,1.3527,1.0726,2.1764,1.3007,0.9446,1.4612,2.5482,3.4598,2.0464,2.3475,2.762,3.0786,4.942,3.5175,3.502,3.8159,3.9517,5.3146,5.8971
AT1G44830.1,34.6103,29.8382,26.5133,39.1618,31.1537,35.1841,41.2223,30.3192,43.4269,38.8885,72.8442,57.0934,51.3061,49.7172,76.26,45.7884,40.9216,58.2982,45.4984,44.2156,51.428
AT1G52890.1,0.5926,0.6883,0.5717,0.6439,0.7014,0.309,0.5251,0.5507,0.5387,1.743,1.0918,2.1422,1.3191,1.5738,1.8354,1.5817,1.1927,1.0938,1.4184,1.4149,1.9574
AT1G53230.1,17.3459,17.1885,20.1362,25.9507,20.8005,18.2682,33.0535,16.4928,24.1715,24.2499,21.6789,26.4503,27.5517,29.916,34.7468,28.9716,29.5415,39.857,23.8528,27.5761,19.3386
AT1G56650.1,0.3912,0.3578,0.2957,0.535,0.2874,0.1339,0.4124,0.0866,0.1597,0.9107,0.2558,0.3518,0.5121,0.4803,0.9598,1.2499,1.3745,1.7791,2.6381,3.3801,1.3331
AT1G66140.1,7.763,8.2574,8.637,8.1143,7.9147,8.075,9.5261,9.3751,12.1339,11.9894,8.1116,10.8133,10.045,10.567,11.8674,10.9702,11.8699,15.4163,11.0238,13.9945,11.7551
AT1G68840.2,13.8142,13.5244,12.7515,18.9667,15.4063,15.8753,21.3764,22.9043,25.7581,30.0317,22.7313,24.3048,23.0639,24.7526,21.1779,18.9085,24.8345,27.1392,25.4104,24.8306,26.7393
AT1G68840.1,15.3281,14.6499,14.4283,20.3081,16.2683,17.5681,22.898,24.633,27.8034,32.2281,24.5182,27.8242,24.7581,26.5277,23.7553,20.3443,26.7628,30.1386,27.2587,26.6388,29.4354
AT1G71030.1,2.5324,2.5471,2.108,2.9705,2.6929,2.3713,2.2344,3.1746,4.0082,4.5715,2.0793,4.6971,4.5916,4.6502,4.7266,6.4228,6.3656,5.2487,13.8279,14.4547,13.072
AT1G72360.3,2.06,2.0325,1.6542,1.7376,1.8082,2.2183,1.4724,2.4803,2.9606,2.8212,2.1024,2.7178,2.7025,1.9772,3.8943,2.4135,3.0986,3.6262,2.3771,2.2337,2.8855
AT1G72360.1,1.8835,1.8584,1.5125,1.5887,1.6533,2.0282,1.3463,2.2678,2.7069,2.6225,1.9223,2.4849,2.4709,1.8078,3.5606,2.2067,2.8331,3.3155,2.1734,2.0424,2.6383
AT1G72360.2,2.0578,2.0303,1.6524,1.7357,1.8063,2.2159,1.4708,2.4776,2.9574,2.8182,2.1001,2.7149,2.6996,1.975,3.8901,2.4109,3.0952,3.6223,2.3745,2.2313,2.8824
AT2G25820.1,0.0498,0.0724,0.0853,0.0678,0.1239,0.2338,0.1481,0.1724,0.0804,0.1927,0.001,0.5083,0.3552,0.5768,0.4809,0.8076,1.0044,1.7262,0.7966,1.172,1.3345
AT2G25900.1,17.0783,19.3762,15.8157,19.8292,17.4768,14.122,21.3597,15.4028,18.4243,20.7478,20.7064,18.3826,29.4748,27.1695,24.8684,31.8088,33.6488,27.5877,41.2447,46.2332,32.213
AT2G25900.2,18.1202,20.6292,16.6252,21.0588,18.5355,14.8686,22.6824,16.3212,19.4184,22.0321,21.9553,19.4625,31.389,28.7799,26.3355,33.7882,35.8181,29.2208,43.9139,49.1986,34.1367
AT2G36080.1,29.3166,33.6245,29.2968,40.6569,37.4194,28.2251,46.4954,34.0328,32.8695,40.3028,33.0864,33.2649,49.4925,45.9137,45.8076,50.6013,50.0109,38.8477,43.9514,52.968,38.7212
AT2G40970.1,18.3187,23.7335,16.7833,25.9197,25.8779,23.2834,28.6918,18.4943,23.9247,18.3631,23.1963,17.4303,28.6209,31.3473,27.4639,30.8686,32.0767,31.6028,34.1183,34.9004,25.9355
AT2G43140.2,0.9876,0.6938,0.6482,0.6221,0.7292,0.8878,0.9045,1.2478,1.3169,4.6496,1.4855,3.3438,4.1358,3.7495,5.149,3.619,3.1245,4.715,3.3622,2.8664,4.1533
AT2G43140.1,0.7162,0.5939,0.536,0.4578,0.4809,0.5529,0.8915,1.0889,0.8928,3.7452,0.7483,2.3632,3.2289,3.0306,3.409,3.0332,2.5773,3.37,2.9671,2.5735,2.9114
AT2G45160.1,8.1579,9.0505,7.7625,8.8253,9.3998,10.2373,10.7782,10.7215,12.2102,13.9943,12.1973,11.4238,13.4469,15.9041,14.56,11.807,13.7323,15.5325,13.8957,15.9653,15.6939
AT2G46990.1,17.8571,21.5876,14.237,21.0805,20.8649,16.987,25.255,15.9104,12.9153,21.9446,17.6619,13.0721,36.3093,28.3065,31.5444,37.9407,36.9314,29.9281,37.8073,35.1849,30.9297
AT3G01970.1,3.8989,2.3177,3.6598,2.4349,2.2486,3.6175,2.9073,3.2079,4.122,4.8317,4.1757,5.1406,6.991,8.5869,11.8859,12.3555,9.123,19.2649,15.4096,19.15,25.1257
AT3G02550.1,13.4284,13.4268,7.672,9.1671,9.9665,8.0043,11.3118,6.3591,8.9307,12.6127,21.2315,12.4037,20.062,22.2969,24.7148,23.1388,20.6351,25.5532,20.224,22.4797,21.545
AT3G03660.1,0.2756,0.2421,0.3329,0.1889,0.3235,0.5246,0.2658,0.483,0.403,1.3489,1.7228,1.7128,1.3291,1.4762,2.7984,2.1332,1.5895,3.3586,2.1977,3.3671,3.2216
AT3G03660.2,0.2487,0.3271,0.3431,0.2044,0.2918,0.5407,0.2398,0.4357,0.3636,1.2167,1.5539,1.5449,1.2387,1.3315,2.6125,1.965,1.4714,3.1681,1.9822,3.1029,3.0648
AT3G16770.1,43.6448,57.7095,35.0741,41.1666,60.522,40.2117,46.3652,57.2787,52.1788,59.2489,50.7359,36.3338,111.3051,89.0146,78.0629,269.9293,248.7252,219.1738,563.9902,681.959,477.4099
AT3G17600.1,0.3218,0.5486,0.4626,0.1474,0.6289,0.3651,0.3554,0.4233,0.3924,0.8408,0.448,0.471,1.0353,0.3163,0.861,0.8843,1.344,0.9606,0.595,1.5326,1.8908
AT3G23240.1,0.2787,0.1703,0.2807,0.191,0.5445,0.1901,0.3914,0.6103,0.3774,2.4546,3.0964,2.1094,4.7762,4.2764,2.9787,2.4478,3.1715,2.8564,3.1549,3.8243,2.4919
AT3G25730.1,15.9738,19.7437,16.5048,25.1146,19.9978,17.5363,24.434,21.3357,28.8678,35.0084,35.3054,50.2019,42.4272,29.8779,54.0357,38.749,35.6542,42.3859,44.0713,39.7054,43.1155
AT3G27650.1,0.5756,0.4914,1.1169,0.6236,0.5231,0.8162,0.4915,0.8835,1.0914,0.8471,1.1017,1.5316,2.7797,1.789,4.7928,4.035,5.2487,6.4459,5.7106,4.5303,8.6161
AT3G50330.1,60.1248,67.1099,53.956,75.6166,79.0158,64.7045,111.4796,84.4866,81.6156,80.334,105.9602,81.9742,130.0913,109.18,92.5938,127.003,117.488,91.9039,135.3248,141.1593,115.1285
AT3G56400.1,1.2442,1.4971,1.3164,1.181,0.9428,1.0661,0.9917,1.1272,1.3382,2.8749,0.7553,2.5008,2.6192,2.1027,3.7993,2.3528,2.6259,3.2172,3.2385,4.4356,3.4477
AT3G60530.1,234.1625,219.5104,244.6094,215.6273,236.4937,316.8097,266.0216,269.9795,383.9092,221.4878,331.7245,246.4929,347.6973,391.1644,360.9596,351.7502,387.2731,411.0694,381.3253,398.9229,417.6267
AT3G60630.1,11.0159,10.8407,10.0728,12.6761,12.3632,13.0193,13.2027,12.9533,14.9202,15.5002,14.0773,13.6794,14.499,15.4835,14.9052,14.6455,15.425,19.2216,15.1722,17.79,16.327
AT4G00150.1,22.6128,34.3745,21.7789,37.6779,34.8416,28.3173,38.9616,36.5867,34.5806,34.1944,34.8633,33.333,44.807,45.8196,34.0161,44.6511,49.7967,45.6501,45.826,65.8384,38.9928
AT4G00180.1,16.1851,18.711,15.4887,24.9668,22.516,16.9634,28.1947,21.1509,17.9985,22.3461,18.0514,17.6294,28.896,28.3034,21.9117,29.641,30.7936,24.6252,29.0547,34.9678,24.106
AT4G00180.2,14.9317,17.2246,14.2862,22.9833,20.7273,15.6158,25.9548,19.499,16.5686,20.5709,16.6174,16.2289,26.6004,26.0549,20.171,27.2863,28.3472,22.6689,26.7465,32.1898,22.1909
AT4G00730.1,20.6643,24.4584,25.5749,25.2843,25.12,22.3037,26.0435,24.7789,28.3716,26.9501,22.4517,29.327,37.4444,33.0558,35.6555,34.7101,35.5065,40.8334,38.7455,45.2042,34.9418
AT4G00730.2,20.0845,23.7722,24.8691,24.5749,24.4152,21.678,25.321,24.0956,27.5756,26.2073,21.8218,28.5042,36.3938,32.1284,34.6551,33.7362,34.5103,39.6878,37.6685,43.9359,33.9615
AT4G01250.1,3.6187,5.0531,3.8806,5.2522,4.1999,5.1769,5.2412,3.6248,4.4885,4.4849,3.8193,3.8849,5.7147,6.1292,6.1393,7.0938,6.2307,5.8826,7.3083,8.9345,8.0726
AT4G06746.1,0.0772,0.1125,0.1984,0.2618,0.4485,0.3643,0.2306,0.603,0.4349,0.1506,0.3196,0.671,0.3082,0.5003,0.7501,1.4489,0.9291,0.8986,0.9606,1.3718,0.9805
AT4G14540.1,6.349,7.4522,8.857,7.7795,6.3776,9.6518,7.3392,7.1913,8.7053,7.3917,7.3282,8.2001,8.2703,8.1728,11.2788,10.609,12.7531,14.655,13.4493,13.7192,11.6807
AT4G17500.1,9.1508,9.1279,10.0904,6.8912,11.8243,11.0016,10.4993,12.7948,16.8417,14.5695,15.6915,18.6481,13.0563,16.0899,15.4129,14.5369,14.7278,14.7812,13.9432,14.6697,13.2226
AT4G27900.1,4.1737,3.6959,4.5505,3.5576,3.1017,4.0887,3.265,4.1447,5.7164,6.2888,4.0934,6.1728,6.9927,5.4679,10.3029,7.1659,7.0488,10.7368,7.8626,9.7538,9.3207
AT4G27900.2,4.2599,3.6953,4.6205,3.6632,3.1937,4.0818,3.271,4.2347,5.8248,6.4385,4.2542,6.1753,7.1091,5.5315,10.4067,7.3164,7.2007,10.8652,8.0122,9.9932,9.4157
AT4G29080.1,5.3386,6.0041,5.4144,5.5025,5.6809,6.5435,6.5737,4.6852,5.9155,4.3237,7.4258,5.0396,6.9648,6.2293,7.3932,8.6804,10.9437,10.5154,12.1817,11.8232,10.1028
AT4G39780.1,5.0514,7.9477,6.8064,5.5453,6.7357,7.0277,5.6271,8.8014,9.8111,7.6335,8.3153,9.8729,7.6148,8.9027,9.8051,11.7346,13.0527,14.4681,13.9669,19.1695,11.6451
AT5G03740.1,26.5761,28.8178,37.1126,26.5145,25.1592,26.8517,19.94,16.7497,20.53,16.7913,17.1211,18.9933,40.8649,26.303,52.7349,41.6097,45.5762,52.1031,48.4861,47.2073,47.9266
AT5G12330.1,0.2796,0.7754,0.4819,0.4776,0.8188,0.5512,0.7564,0.7834,0.4315,0.8214,0.7579,0.5131,1.1686,1.5158,1.146,2.4171,1.9941,1.5946,2.6627,3.1373,2.1268
AT5G12330.2,0.3378,0.7813,0.3644,0.462,0.8721,0.4598,0.6944,0.7893,0.4804,0.8552,0.6463,0.5169,1.1775,1.5089,1.1046,2.3658,1.9237,1.591,2.6829,3.348,2.0978
AT5G12330.4,0.2975,0.7352,0.3357,0.3756,0.728,0.6689,0.5645,0.6416,0.4462,0.7623,0.5969,0.5843,0.9754,1.301,1.1831,1.9981,1.685,1.5617,2.2986,2.8273,1.9981
AT5G12330.3,0.1232,0.6269,0.4758,0.3147,0.6674,0.5629,0.6271,0.5106,0.2993,0.661,0.5439,0.5627,0.9124,1.1622,1.1479,1.566,1.4663,1.5778,2.0607,2.3625,1.6456
AT5G13910.1,8.5383,11.8767,5.7995,10.2004,11.6806,6.4341,13.3666,13.8185,15.0822,17.0367,15.2099,18.9023,19.6846,25.1219,18.1957,21.5016,17.4161,22.645,19.6434,24.753,20.9098
AT5G19790.1,3.5292,3.2096,2.5937,2.089,2.9601,2.8256,1.897,3.0554,3.1805,4.3536,1.8443,4.1921,2.2682,3.2492,3.196,6.9711,5.5164,6.6321,5.9333,9.4336,9.345
AT5G22890.1,2.9694,5.3187,5.4915,3.9184,4.9296,4.9308,3.7241,4.1744,4.5829,6.3343,4.622,6.6334,4.6395,4.6045,8.3097,7.9317,6.3635,8.2737,7.1573,9.7062,5.7914
AT5G25890.1,4.5008,4.0781,5.8712,3.9549,5.3619,5.7812,2.7738,4.1743,7.0706,7.8816,5.3975,9.3586,6.5126,5.1931,16.86,10.5173,8.6793,13.4791,13.7483,17.6111,18.4421
AT5G39610.1,1.6148,1.758,1.9771,1.6703,1.5749,1.6877,1.8326,2.5371,3.3889,6.485,3.4912,6.3892,4.4777,4.6231,8.5855,5.4256,4.6567,6.9677,7.2835,8.451,7.929
