id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01480.1,0.9055,1.1376,1.2021,0.7945,0.6429,0.7433,0.6438,0.6726,0.4537,0.9572,0.6068,0.5755,0.487,0.5631,0.7884,0.5565,0.4423,0.4692,0.7739,0.8352,0.8206
AT1G01620.1,1057.9422,1298.7103,788.5986,1171.9416,1416.146,991.2215,950.312,1328.6793,906.2773,911.8969,1199.0201,707.1488,701.3389,580.3746,429.0034,614.8893,698.2814,424.3886,805.9205,802.3075,564.7642
AT1G01620.2,1086.5865,1334.5224,808.4328,1208.1066,1454.9929,1016.439,978.0277,1367.5579,928.611,936.1092,1231.0812,724.7762,720.7213,596.5317,439.6041,632.4223,717.1135,435.2427,829.1088,824.7317,579.604
AT1G03120.1,2.1944,2.5562,3.2966,1.6686,2.2494,2.1031,2.3993,4.6349,2.2472,4.7058,1.1045,1.559,1.3759,1.7039,0.6543,1.5442,1.1757,1.5044,1.1441,1.7867,2.2195
AT1G03700.1,2.6518,4.2363,2.7707,2.6741,3.3359,2.7562,3.4475,2.817,2.327,1.576,2.3335,1.4504,0.4508,0.7322,0.188,0.4043,0.6912,0.6269,0.3626,0.2333,0.3932
AT1G03820.1,1.6564,2.3849,2.5461,1.8417,1.9534,2.2202,1.5282,0.5912,1.179,0.6611,1.8388,1.4065,0.8349,0.2382,1.2489,0.5992,0.3553,0.9293,0.4224,0.5179,0.458
AT1G04660.1,1.2785,2.0215,2.1467,0.946,2.3466,1.4352,1.5404,1.819,2.6124,1.1533,1.4441,1.5461,0.7523,0.5212,0.5254,0.3432,0.3426,0.2721,0.18,0.346,0.2229
AT1G04800.1,15.3458,10.0563,13.4298,15.9335,13.0497,15.566,12.553,6.3133,9.1005,5.6496,10.9129,11.4119,10.1354,6.842,19.1385,4.7537,7.2594,7.8894,11.997,7.2413,7.7041
AT1G05450.2,1.8125,1.2092,2.4384,1.4958,1.5204,1.4886,1.253,1.2635,1.6476,0.7332,0.9474,1.3635,0.9887,1.083,1.1435,0.4411,0.4065,1.0169,0.3561,0.4269,0.3006
AT1G05660.1,1.0169,2.6707,1.8846,1.4171,3.1567,2.6913,1.2479,2.3784,1.7452,1.9585,1.4557,1.5344,0.4559,0.4693,0.4717,0.3428,0.316,0.2964,0.1961,0.2516,0.1823
AT1G06360.1,31.1874,28.5381,40.5963,29.1352,29.342,38.0954,32.7033,35.0533,47.1033,39.0951,28.6612,40.9906,19.0164,23.8567,25.8929,16.0638,14.92,17.3169,15.2366,15.2526,16.493
AT1G06520.1,1.0489,1.0448,1.5791,1.1453,0.8238,1.8381,1.0488,1.2728,1.9049,1.0734,0.9096,1.3373,0.594,0.5414,0.6186,0.222,0.3743,0.6637,0.5955,0.506,0.5741
AT1G06830.1,2.2052,3.0967,1.9035,3.2589,4.4378,2.7027,2.7633,0.9295,1.0765,1.905,2.3041,1.1283,1.8485,1.3294,2.4431,1.4574,0.7391,0.7921,0.9805,0.5296,0.5675
AT1G07720.1,33.019,43.0993,29.6951,53.83,34.161,30.7819,29.0526,21.8197,20.6427,19.0209,16.3733,20.2049,22.5092,13.8108,21.6413,20.7603,20.5403,20.9156,30.0008,29.0082,24.8141
AT1G08990.1,1.1679,0.9399,1.6327,0.7835,1.058,1.8286,0.5775,1.0455,0.95,1.3756,0.757,1.3065,0.4712,0.3832,1.2104,0.1938,0.3562,0.8256,0.5541,0.6384,0.5821
AT1G09350.1,2.6733,2.2565,2.6033,2.9315,1.84,2.4507,1.5698,2.1357,2.4808,1.3799,2.1847,2.5472,0.8018,0.5621,0.7969,0.6518,0.705,0.8656,0.5592,0.4346,0.3037
AT1G09500.1,0.9324,1.0514,1.1399,0.7446,0.7171,0.926,1.1701,0.8524,0.5375,0.7629,1.2986,1.1485,0.8142,0.8908,0.6598,0.3215,0.4145,0.3928,0.0585,0.3629,0.3127
AT1G09812.1,2.3094,2.4494,4.2848,2.4493,2.7115,3.6164,1.5309,1.9255,3.5679,0.7941,0.604,1.1078,1.2103,0.6059,0.4135,0.3823,1.2308,1.0366,0.8558,0.8467,0.6499
AT1G10360.1,2.8979,3.449,3.7729,3.6968,3.3367,3.9464,4.3498,2.3709,2.2372,2.1699,2.5663,2.1983,1.861,1.7701,1.9752,1.2987,1.832,1.0474,1.7101,0.8841,1.263
AT1G11120.1,19.0659,20.5443,23.862,15.7061,15.4991,18.1266,13.962,11.9057,13.5975,8.3506,10.8809,9.2594,9.9296,11.5294,10.9423,13.5066,13.1712,12.9134,13.1433,14.9963,14.784
AT1G11120.2,21.8409,23.4731,27.2627,17.7622,17.755,20.7077,15.9942,13.5649,15.5765,9.566,12.4645,10.607,11.3748,13.2074,12.4599,15.4725,15.0882,14.7929,15.0563,17.123,16.9357
AT1G11125.1,1.9642,2.7331,2.1915,2.8516,2.3705,3.0334,2.1936,1.7239,2.2986,1.4111,1.9023,1.0724,1.1588,1.5694,1.584,1.0688,1.4222,1.1557,1.5259,1.2769,1.501
AT1G11840.5,57.7917,58.0857,69.4508,58.0708,49.609,61.4842,39.489,36.2192,47.1961,37.5836,42.9671,55.8195,44.246,31.9341,81.8587,36.6526,37.8802,49.351,43.0476,42.8144,47.8475
AT1G11840.2,56.9799,57.2698,68.4753,57.2551,48.9122,60.6206,38.9343,35.7105,46.5332,37.0557,42.3636,55.0354,43.6245,31.4855,80.7089,36.1377,37.3482,48.6578,42.443,42.213,47.1754
AT1G11840.6,58.8095,59.0471,70.6003,59.0319,50.4558,62.5019,40.1426,36.8725,47.9524,38.2358,43.7423,56.7923,45.0031,32.4426,83.1588,37.3098,38.4839,50.1506,43.6693,43.5026,48.6394
AT1G11840.1,66.1541,66.5001,79.4524,66.4847,56.7881,70.3707,45.185,41.4514,54.0255,43.0444,49.21,63.9574,50.647,36.5513,93.66,41.978,43.3578,56.4634,49.1744,49.0121,54.7995
AT1G11840.3,68.6615,69.0206,82.4329,69.0046,58.9405,73.0379,46.8976,43.0225,56.0732,44.6759,51.0378,66.3243,52.5666,37.9367,97.178,43.5691,45.0012,58.5432,51.0382,50.846,56.8478
AT1G11840.4,67.4112,67.7637,80.9318,67.748,57.8672,71.7078,46.0224,42.2391,55.0521,43.8623,50.1451,65.1728,51.6094,37.2459,95.4397,42.7757,44.1817,57.4771,50.1088,49.92,55.8408
AT1G11960.1,3.9781,3.5485,4.694,4.1923,3.5055,3.4063,2.6298,2.5193,2.4302,2.7684,1.8421,3.1926,1.7592,1.562,3.9293,1.9968,2.3254,3.1631,2.3748,3.075,3.1685
AT1G12064.1,16.376,11.9792,20.5597,11.4608,13.0484,14.9532,15.204,14.5021,17.0107,10.5223,15.0892,12.0756,6.8998,9.1189,7.5825,7.0708,5.3825,6.6798,4.3008,3.5213,5.4414
AT1G12330.1,8.8236,8.2845,9.729,9.9034,7.1525,8.5915,9.6115,8.8766,8.0292,6.7868,4.6666,5.8262,5.5075,4.0185,5.2403,5.7106,5.3644,6.0048,6.1368,7.5085,8.0812
AT1G14240.2,6.1186,4.3262,8.3966,3.8369,3.9083,7.1823,2.8387,5.3023,6.2044,6.3077,4.3071,5.7693,2.8273,3.2204,6.2675,1.6077,2.4166,3.6902,0.8541,1.7743,2.5709
AT1G14240.1,6.2669,4.4126,8.5644,3.8778,3.9644,7.3258,2.8797,5.3853,6.2859,6.4594,4.3931,5.9263,2.9048,3.2676,6.416,1.6183,2.5046,3.7493,0.8711,1.8097,2.6432
AT1G14240.3,6.3264,4.4545,8.6456,3.9146,4.002,7.3953,2.907,5.4364,6.3455,6.5206,4.4348,5.9825,2.9111,3.2986,6.4769,1.6336,2.5283,3.7848,0.8794,1.8269,2.6683
AT1G14240.4,6.2408,4.3935,8.5869,3.8778,3.9644,7.3258,2.9111,5.3624,6.2859,6.485,4.4204,5.8845,2.8627,3.2676,6.416,1.6183,2.4648,3.7639,0.8711,1.8271,2.6223
AT1G14700.1,15.9936,17.7712,19.0858,23.21,18.0055,20.4174,16.2763,18.4001,17.0225,17.7017,16.2631,15.8404,8.4787,5.2509,8.76,8.9547,9.9123,9.1906,10.7061,9.7485,8.5933
AT1G14700.2,16.0712,17.8574,19.1784,23.3226,18.0929,20.5165,16.3553,18.4894,17.1051,17.7876,16.342,15.9172,8.5198,5.2764,8.8025,8.9982,9.9604,9.2352,10.758,9.7958,8.635
AT1G15010.1,10.134,11.3016,5.3778,12.2774,13.0278,7.184,12.9123,6.7069,5.2022,3.9961,7.1175,5.4436,5.3564,4.8434,3.5632,3.3624,2.6559,1.6779,2.5846,3.1546,1.1351
AT1G15260.1,15.5235,13.0748,12.5501,17.6915,13.3868,15.4097,20.1881,12.616,11.6469,14.1116,13.2507,9.7411,11.3223,10.5275,9.5239,9.1651,9.9011,8.1851,9.7566,8.9574,8.2543
AT1G16500.1,2.2604,2.1723,2.1807,1.6381,2.4906,2.4447,1.4691,2.2171,2.379,1.7406,1.6675,1.7712,1.465,1.1619,1.624,0.7328,1.4846,1.5911,0.8869,1.0339,0.9262
AT1G16515.1,6.902,3.4484,6.3935,4.0322,4.095,5.1588,2.2321,1.9213,5.6133,2.9751,4.5738,6.5919,2.1715,1.9857,7.8213,2.0863,1.9225,2.3609,1.8709,1.9071,1.6233
AT1G17090.1,7.0067,7.029,6.9118,4.5209,5.7649,9.0424,3.5386,4.5681,4.8302,4.3892,8.1578,3.52,4.303,2.842,6.3798,3.5279,4.0633,4.3789,2.6694,3.201,3.3772
