id,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G06923.1,0.3997,0.3722,0.4077,0.4474,0.9434,0.4946,0.2849,0.7644,0.5905,0.4635,0.3797,0.5224,0.6145,0.6421,0.5839,0.7793,0.9389,1.0580,0.6989,1.4496,1.4566
AT1G10380.1,12.8726,19.4402,11.9225,17.6908,20.9251,17.0633,18.3437,16.0881,16.3204,12.8136,19.4953,14.9677,21.5651,25.2020,17.8659,23.1447,22.1246,22.2243,17.0586,20.4969,15.7702
AT1G23052.1,12.8896,12.5452,25.3226,12.1046,11.1727,14.5063,10.5609,11.0751,17.9823,11.8587,9.2421,18.2731,14.5613,14.3436,27.2247,21.6031,16.9512,31.9375,31.2736,30.5708,30.6677
AT1G30795.1,0.0757,0.0556,0.0655,0.1032,0.1263,0.0519,0.1360,0.0665,0.1225,0.0010,0.0010,0.0010,0.1214,0.1967,0.1345,1.1113,0.3420,0.7130,1.4944,2.2894,1.0207
AT1G48325.1,0.0010,0.0731,0.1711,0.0010,0.0836,0.2023,0.0010,0.1739,0.2414,0.1944,0.0010,0.3947,0.0010,0.6464,0.6172,0.7334,0.4509,1.7692,0.8767,1.0511,2.0586
AT1G56020.1,5.4486,7.2294,4.0743,7.9982,8.0499,5.5870,9.4471,6.2826,7.1101,7.2761,7.9105,5.4426,9.4969,9.1923,5.8872,10.0984,8.2688,7.8518,9.2430,9.0519,9.2100
AT1G59725.1,0.2692,0.1645,0.3097,0.0928,0.2260,0.5490,0.3512,0.1972,0.5100,0.5715,0.0944,0.8227,0.5415,0.3817,1.0795,0.7395,0.5794,1.3297,0.7956,0.9837,1.8322
AT1G60989.1,29.8432,33.7372,31.4923,31.5600,45.4302,29.4957,32.1854,41.3779,20.3904,58.4971,24.5362,17.4195,44.9381,40.3860,42.5462,48.1377,51.0488,35.6761,58.0614,77.9577,48.2404
AT1G61750.1,0.1746,0.2867,0.2257,0.5058,0.2558,0.2078,0.1579,0.2676,0.2480,0.1288,0.2731,0.1397,0.2808,0.4558,1.0479,0.8612,1.1239,1.7532,0.7723,2.0533,1.2558
AT1G63600.1,1.2191,1.0702,0.9683,0.8345,1.1452,0.8968,1.2046,1.1982,1.3482,1.4359,0.6628,2.9991,1.4932,2.1714,0.9152,2.9387,3.7833,5.3840,2.1301,5.7133,5.5973
AT1G76210.1,0.3889,0.4739,0.3730,0.3254,0.8324,0.4999,0.4684,0.7953,0.5618,1.0587,0.5414,0.8276,1.2168,0.7351,2.1575,0.8553,0.8538,2.2731,1.5013,1.2929,2.3204
AT1G76990.4,13.4481,12.9347,19.8812,16.3347,13.8940,19.9626,14.9296,13.9253,20.6621,16.0786,12.7878,19.3548,12.0765,9.4805,17.5453,12.7216,17.4767,28.1960,24.4338,25.2771,25.5641
AT2G41225.1,0.0010,0.0010,0.0010,0.0674,0.4079,0.0671,0.1764,0.0010,0.0010,0.6677,0.8120,0.8539,2.1905,5.0856,8.8432,2.4852,3.4714,7.0200,1.2226,1.3582,2.8843
AT2G44110.2,2.2980,2.0413,2.9042,1.7786,2.0881,3.3528,1.1543,1.8248,4.9380,2.9806,2.0583,4.8959,2.4694,2.2581,6.3535,4.7214,4.6835,11.0885,6.9071,8.4165,12.7400
AT2G44110.1,2.3697,2.1285,2.8996,1.8681,2.1889,3.4312,1.1753,1.8692,5.1462,3.0032,1.9748,5.2245,2.7076,2.2991,6.4575,4.7558,4.7931,11.4185,7.1071,8.8091,12.9818
AT3G18280.1,170.2636,175.3830,174.3411,127.4634,166.8341,289.3481,103.6689,68.9991,153.0703,51.5514,242.9435,134.1495,132.6452,107.9595,355.9936,252.7707,232.0036,345.4428,241.7851,192.4999,196.8431
AT3G24300.1,5.1097,11.5080,5.1965,5.7293,13.2160,9.9381,5.8524,9.0564,7.8374,6.9523,9.6466,8.1458,8.6233,15.6573,10.6669,13.5160,13.6284,13.2624,7.6619,11.0525,7.8218
AT3G46280.1,6.5851,14.8729,5.5890,7.6734,14.2109,9.4371,8.3998,9.2846,5.4004,12.7651,10.8532,8.1465,17.9635,17.6325,18.6588,10.3083,10.4840,9.2862,9.0600,9.2498,5.7541
AT3G61172.1,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.2411,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.4480,1.3292,2.2575,0.6412
AT4G13210.2,3.9226,4.0369,3.8061,4.7758,3.5396,3.1871,3.0157,2.4457,3.1463,4.0895,3.4487,5.0368,5.4069,4.3417,8.4346,5.4962,5.4761,7.2814,7.2120,6.4687,9.4723
AT4G13530.1,13.9817,13.0387,21.4543,11.6937,13.2012,19.4315,8.7695,12.9160,21.6771,12.3204,13.0290,17.3803,13.2788,11.5161,24.6557,14.6545,13.7523,22.7891,24.0705,24.6176,24.4627
